headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Dilma Rousseff Is Ousted as Brazil’s President in Impeachment Vote,2016-08-31,article,News,Foreign,World,"['Impeachment', 'Economic Conditions and Trends', 'Corruption (Institutional)', 'Bribery and Kickbacks']",https://www.nytimes.com/2016/09/01/world/americas/brazil-dilma-rousseff-impeached-removed-president.html,nyt://article/0141f9ac-5773-5246-9540-24af56475b60,By Simon Romero
The Four Ordinary People Who Took On Big Pharma,2019-07-20,article,Op-Ed,OpEd,Opinion,"['Opioids and Opiates', 'Drug Abuse and Traffic', 'OxyContin (Drug)', 'Drugs (Pharmaceuticals)']",https://www.nytimes.com/2019/07/20/opinion/sunday/oxycontin-purdue-sacklers.html,nyt://article/0181d0ca-6034-55d1-a545-a1d906ce90e9,By Beth Macy
A Writer Finds the Facts Don't Support the Image,1999-04-22,article,Review,The Arts/Cultural Desk,Books,"['Reviews', 'Books and Literature']",https://www.nytimes.com/1999/04/22/books/books-of-the-times-a-writer-finds-the-facts-don-t-support-the-image.html,nyt://article/01a6d562-e046-51ee-a63d-f44bbb6453d6,By Christopher Lehmann-Haupt
"In an Era of Online Outrage, Do Sensitivity Readers Result in Better Books, or Censorship?",2017-12-24,article,News,BookReview,Books,"['Books and Literature', 'Writing and Writers', 'Book Trade and Publishing', 'Discrimination', 'Social Media', 'Censorship']",https://www.nytimes.com/2017/12/24/books/in-an-era-of-online-outrage-do-sensitivity-readers-result-in-better-books-or-censorship.html,nyt://article/01e1a5eb-1a33-588a-a4a0-662e4143c48a,By Alexandra Alter
The Path to an Accord on Immigration,2014-07-15,article,Letter,Letters,Opinion,"['Immigration and Emigration', 'Foreign Workers', 'Visas', 'United States Politics and Government']",https://www.nytimes.com/2014/07/15/opinion/sheldon-adelson-warren-buffett-and-bill-gates-on-immigration-reform-readers-respond.html,nyt://article/0212e873-8900-5364-80cc-5f931c7c7efb,
"Goldman, Can Spare You a Dime?",2009-10-19,article,Web Log,None,Blogs,[],https://dealbook.blogs.nytimes.com/2009/10/19/blogs/19dealbook-goldman-130473.html,nyt://article/021dfc57-a058-5a96-ac5c-fdc41ef3f50f,By DEALBOOK
Endpaper,1975-02-09,article,Archives,None,Archives,[],https://www.nytimes.com/1975/02/09/archives/endpaper.html,nyt://article/02573199-ebcc-5590-ad57-b110a6f3a5f6,Edited By Glenn Collins
A Precarious Olympic Bid for Istanbul,2013-06-14,article,News,Sports,Sports,"['Olympic Games (2020)', 'Demonstrations, Protests, and Riots']",https://www.nytimes.com/2013/06/15/sports/A-Precarious-Olympic-Bid-for-Istanbul.html,nyt://article/02d6d895-11a8-5a1e-afbd-d848c781e2e5,By Christopher Clarey
Hart Crane,2007-02-25,article,Letter,BookReview,Books,['Books and Literature'],https://www.nytimes.com/2007/02/25/books/review/Letters.t-1.html,nyt://article/0303501b-4efc-5393-8b3f-f485c6bf3641,
Where Voices Soar and Egos Die,2007-05-27,article,News,CityWeekly,New York,['Music'],https://www.nytimes.com/2007/05/27/nyregion/thecity/27kara.html,nyt://article/0308f21a-9be9-5658-b13d-8f0db092783b,By Kate Torgovnick
Upbeat but sympathetic: A fine line for Super Bowl ads,2009-01-30,article,News,IHT News,Business Day,[],https://www.nytimes.com/2009/01/30/business/worldbusiness/30iht-30adco.19802474.html,nyt://article/030ea5f2-0a49-57e3-aba1-8c9191764306,By Stuart Elliott
What Students Are Saying About the George Floyd Protests,2020-06-05,article,News,Learning,The Learning Network,[],https://www.nytimes.com/2020/06/04/learning/what-students-are-saying-about-the-george-floyd-protests.html,nyt://article/036c4094-d5fa-5e29-a772-1fe87fc23df4,By The Learning Network
Post-Mortem on Madoff’s Fraud While Scandal Is Still Quivering,2011-04-25,article,Review,Culture,Books,"['Ponzi Schemes', 'Banking and Financial Institutions', 'Regulation and Deregulation of Industry', 'Books and Literature']",https://www.nytimes.com/2011/04/26/books/diana-b-henriques-on-madoff-in-wizard-of-lies-review.html,nyt://article/03c84149-c897-557d-9ee1-e45293d8369c,By CHARLES FERGUSON
"In Weighing Responses to Climate Change, Severity and Uncertainty Matter More than ‘Reality’",2015-06-25,article,News,OpEd,Opinion,"['Blogs and Blogging (Internet)', 'Coast Erosion', 'Global Warming', 'Greenhouse Gas Emissions']",https://dotearth.blogs.nytimes.com/2015/06/25/in-weighing-responses-to-climate-change-severity-and-uncertainty-matter-more-than-reality/,nyt://article/03e1d820-ad24-53a9-aebd-7fee7af2f879,By Andrew C. Revkin
“Rock is the medium of a generation's self‐expressive urge”,1972-11-05,article,Archives,None,Archives,['Music'],https://www.nytimes.com/1972/11/05/archives/-rock-is-the-medium-of-a-generations-selfexpressive-urge-rock-as.html,nyt://article/040a0ccd-f2ec-5450-ac0e-45f50646f0bd,By Patrick Carr
Why Sexual Harassment Persists in Politics,2016-11-02,article,News,National,U.S.,"['Sexual Harassment', 'United States Politics and Government', 'Women and Girls']",https://www.nytimes.com/2016/11/03/us/politics/why-sexual-harassment-persists-in-politics.html,nyt://article/0429cf0c-02d6-5ee5-825c-f15ad69c745f,By Sheryl Gay Stolberg
"Jazz Seeks Better Shot, As Does Lakers' O'Neal",1997-05-10,article,News,Sports Desk,Sports,"['Playoff Games', 'Basketball']",https://www.nytimes.com/1997/05/10/sports/jazz-seeks-better-shot-as-does-lakers-o-neal.html,nyt://article/043ef84b-d9a4-5b95-8128-188d4e2962e9,By Tom Friend
LONG ISLAND JOURNAL,1988-05-29,article,News,Long Island Weekly Desk,New York,"['Suits and Litigation', 'Boats and Boating']",https://www.nytimes.com/1988/05/29/nyregion/long-island-journal-170288.html,nyt://article/048f0874-1484-5783-b5f8-21702ec1cf95,By Diane Ketcham
Students See Many Slights as Racial ‘Microaggressions’,2014-03-21,article,News,National,U.S.,"['Discrimination', 'Colleges and Universities', 'Race and Ethnicity', 'Minorities', 'Gender', 'Social Conditions and Trends']",https://www.nytimes.com/2014/03/22/us/as-diversity-increases-slights-get-subtler-but-still-sting.html,nyt://article/052a52af-17e9-5625-af8b-422e5873923a,By Tanzina Vega
Corrupt Me Elmo,2006-04-17,article,Op-Ed,Editorial Desk,Opinion,"['Television', 'Babies', 'Children and Youth']",https://www.nytimes.com/2006/04/17/opinion/corrupt-me-elmo.html,nyt://article/056d4293-4c8f-5326-8063-ed39244f8e51,By Karen Karbo
"Boris Johnson, Hong Kong, Syria: Your Friday Briefing",2019-11-15,article,briefing,NYTNow,Briefing,[],https://www.nytimes.com/2019/11/14/briefing/boris-johnson-hong-kong-syria.html,nyt://article/05aee0d1-900c-5c5e-9676-5d985c913fc4,By Andrea Kannapell
Clever or Offensive? Taye Diggs Profile Kicks Up Some Dust,2015-07-24,article,News,,Opinion,[],https://publiceditor.blogs.nytimes.com/2015/07/24/funny-or-offensive-taye-diggs-profile-kicks-up-some-dust/,nyt://article/05b75fc4-17e8-547b-bf6d-893b1772df98,By Margaret Sullivan
Ouster of Thaksin exposes Temasek - Business - International Herald Tribune,2006-09-20,article,News,IHT News,Business Day,[],https://www.nytimes.com/2006/09/20/business/worldbusiness/20iht-sing.2875492.html,nyt://article/05badc91-a51c-5026-aa9a-e349ccecd64e,By Wayne Arnold
"A Celebrated Artist Dies, Then His Life Gets Difficult",2007-08-06,article,Review,Culture,Books,['Books and Literature'],https://www.nytimes.com/2007/08/06/books/06masl.html,nyt://article/0633e570-ce9c-5234-b2d2-5db5054c087d,By Janet Maslin
Buses for Tech Workers in San Francisco Will Pay Fee,2014-01-22,article,News,Business,Technology,"['Computers and the Internet', 'Buses']",https://www.nytimes.com/2014/01/22/technology/buses-for-tech-workers-in-san-francisco-will-pay-fee.html,nyt://article/0662bca4-3ed4-5c79-bf14-25d44bfb2338,By Malia Wollan and David Streitfeld
Espada Puts Lawyer-Lobbyist at Center of Talks on Senate Power Struggle,2009-06-27,article,News,Metro,New York,['Law and Legislation'],https://www.nytimes.com/2009/06/27/nyregion/27lawyer.html,nyt://article/06a97b50-fa7b-5fc1-a6ee-1988001ea15c,By Nicholas Confessore
Recently Opened: Armani/Ristorante,2009-04-17,article,News,,Food,[],https://dinersjournal.blogs.nytimes.com/2009/04/17/recently-opened-armaniristorante/,nyt://article/06cc793c-e2b8-500f-93b5-55167c5a28b0,By Frank Bruni
Letters to the Editor,2017-02-17,article,Letter,BookReview,Books,['Books and Literature'],https://www.nytimes.com/2017/02/17/books/review/letters-to-the-editor.html,nyt://article/06dc0e6d-d595-5151-a09f-905e673ce960,
"White House Memo; 2 Personalities, Poles Apart, At Center of Sununu Drama",1991-06-29,article,News,National Desk,U.S.,"['United States Politics and Government', 'Biographical Information', 'Ethics', 'AIDES AND EMPLOYEES', 'TRAVEL, PERSONAL']",https://www.nytimes.com/1991/06/29/us/white-house-memo-2-personalities-poles-apart-at-center-of-sununu-drama.html,nyt://article/07343970-d437-5a50-b564-0365f501c019,By Maureen Dowd
Police Chiefs Want U.S. Aid in Crime Fight,2006-08-31,article,News,National Desk,U.S.,"['Finances', 'Budgets and Budgeting', 'Urban Areas', 'Crime and Criminals', 'Terrorism']",https://www.nytimes.com/2006/08/31/us/police-chiefs-want-us-aid-in-crime-fight.html,nyt://article/073bf00b-df7e-5ffe-ab1f-fba5840c7cc1,By John Files
BP Musings,2010-06-10,article,News,Business,Business Day,[],https://economix.blogs.nytimes.com/2010/06/10/bp-musings/,nyt://article/074ba65e-475b-54e1-b4e4-355a14599c78,By Floyd Norris
Concert: Nicolas Slonimsky,1987-12-14,article,Review,Cultural Desk,Arts,"['Music', 'Reviews', 'CONCERTS AND RECITALS']",https://www.nytimes.com/1987/12/14/arts/concert-nicolas-slonimsky.html,nyt://article/075b68c7-939f-5f24-b53d-6ea0f8b007a1,By Bernard Holland
Poet In Prose,1991-04-28,article,Review,Book Review Desk,Books,['TERMS NOT AVAILABLE'],https://www.nytimes.com/1991/04/28/books/poet-in-prose.html,nyt://article/07b60a8f-7075-52f8-bcfc-dd6190fe1c1e,By Doug Anderson
Gem Tower Tenants Could Receive Low-Interest Loans,2010-06-24,article,News,Metro,New York,"['Taxation', 'Diamonds']",https://www.nytimes.com/2010/06/24/nyregion/24gem.html,nyt://article/07c1f81f-828f-5ad0-8abf-0cef36307196,By Charles V. Bagli
Politics Among Culprits In Death of Gun Control,1999-06-19,article,An Analysis; News Analysis,National Desk,U.S.,"['ELECTION ISSUES', 'Gun Control', 'Law and Legislation', 'Elections', 'Firearms']",https://www.nytimes.com/1999/06/19/us/guns-schools-finger-pointing-politics-among-culprits-death-gun-control.html,nyt://article/07e44eb1-b648-558d-81b5-103c157b339e,By Alison Mitchell
Christie Todd Whitman May Have the Most Thankless Job in Washington,2001-08-20,article,News,College,Education,[],https://www.nytimes.com/2001/08/20/college/christie-todd-whitman-may-have-the-most-thankless-job-in-washington.html,nyt://article/07fe4a29-0c9c-5ff3-b4c9-64abab1fdd6d,By Gregg Easterbrook
Finding a Flute That Sings,2006-08-17,article,News,Styles,Fashion & Style,"['Musical Instruments', 'Computers and the Internet']",https://www.nytimes.com/2006/08/17/fashion/17Online.html,nyt://article/081af4b7-061a-5a6e-bb01-5a9dc30f8239,By Michelle Slatalla
The Listings: Dec. 9 -- Dec. 15,2005-12-09,article,Schedule,"Movies, Performing Arts/Weekend Desk",Arts,[],https://www.nytimes.com/2005/12/09/arts/movies/the-listings-dec-9-dec-15.html,nyt://article/081e6113-ae49-512a-ae06-ba454533b2bc,
William at 16: Prince of Hearts and New Windsor Icon,1998-06-22,article,,IHT News,,[],https://www.nytimes.com/1998/06/22//IHT-william-at-16-prince-of-hearts-and-new-windsor-icon.html,nyt://article/0823fd58-a16f-57c7-93f6-6c6dff6d6c8b,"By Suzy Menkes, International Herald Tribune"
"Hillary Clinton Is ‘Not My Abuela,’ Critics Say",2015-12-23,article,News,National,U.S.,"['Presidential Election of 2016', 'Hispanic-Americans']",https://www.nytimes.com/2015/12/24/us/politics/hillary-clinton-is-not-my-abuela-critics-say.html,nyt://article/085d03e1-a57a-5cd7-8b27-03c95c0ae591,By Katie Rogers
"Gore, Playing Underdog, Wants Bradley to Debate",1999-09-30,article,News,News,World,[],https://www.nytimes.com/1999/09/30/news/gore-playing-underdog-wants-bradley-to-debate.html,nyt://article/08869ec9-418f-5ad9-877a-8f9465e75ec0,"By Brian Knowlton, International Herald Tribune"
‘Proud Mary’ Has a ‘Proud Mary’ Problem,2018-01-19,article,News,Culture,Movies,"['Movies', 'Pop and Rock Music']",https://www.nytimes.com/2018/01/19/movies/proud-mary-john-fogerty-taraji-p-henson.html,nyt://article/088ffa0c-33c9-54c2-9260-2cd7d9dc107a,By Wesley Morris
Personal Finance for Those Who Don’t Have a Clue,2018-01-12,article,News,SundayBusiness,Business Day,"['Stocks and Bonds', 'Savings', 'Millennial Generation', 'Books and Literature']",https://www.nytimes.com/2018/01/12/business/personal-finance-dont-have-a-clue.html,nyt://article/08dbd643-4352-5bd7-b545-12df32443663,By Paul B. Brown
Movie Listings for June 10-16,2016-06-10,article,Schedule,Weekend,Movies,['Movies'],https://www.nytimes.com/2016/06/10/movies/movie-listings-for-june-10-16.html,nyt://article/0904e6c3-4a78-5b7c-90dc-66b69de2f571,
Oil Slick Sliding Away,2006-09-19,article,News,National,U.S.,[],https://thecaucus.blogs.nytimes.com/2006/09/19/oil-slick-sliding-away/,nyt://article/090c6691-3758-557f-a4ad-d9d7ada50204,By The New York Times
I Hope This Email Finds You Well,2020-08-20,article,News,Smarter Living,Smarter Living,"['Content Type: Service', 'E-Mail', 'Coronavirus (2019-nCoV)', 'Emotions', 'Quarantine (Life and Culture)', 'Customs, Etiquette and Manners', 'Workplace Environment']",https://www.nytimes.com/2020/08/19/smarter-living/coronavirus-how-to-write-better-emails.html,nyt://article/09125014-1947-5469-8aaf-1370b51dc3f8,By Tim Herrera
"Rats, Rats Everywhere, and Nary a One That Won't Gnaw Your Horrified Heart",2003-03-14,article,Review,"Movies, Performing Arts/Weekend Desk",Movies,"['MOTION PICTURES', 'Reviews']",https://www.nytimes.com/2003/03/14/movies/film-review-rats-rats-everywhere-nary-one-that-won-t-gnaw-your-horrified-heart.html,nyt://article/0996cd93-b7a4-58c7-a3ba-514bbd3618d4,By Stephen Holden
"Malaise in the Projects, and Elsewhere",2006-12-01,article,Review,Weekend,Movies,['MOTION PICTURES'],https://www.nytimes.com/2006/12/01/movies/01arch.html,nyt://article/09bc7889-2e22-5c9c-bd70-e8a236918fdd,By Stephen Holden
SPEAKING OF BOOKS,1964-01-12,article,Archives,None,Archives,"['Books and Literature', 'GENERAL']",https://www.nytimes.com/1964/01/12/archives/speaking-of-books.html,nyt://article/09fefd75-87be-53f5-adc8-886c5f4eba38,
Rick Santorum Isn’t Crazy,2012-03-06,article,News,,Opinion,[],https://opinionator.blogs.nytimes.com/2012/03/05/rick-santorum-isnt-crazy/,nyt://article/0a61f8bc-fd56-5e4c-b20d-1b4f6b27f281,By Stanley Fish
Back From the Brink: The Baltimore Symphony,1988-03-07,article,News,Cultural Desk,Arts,"['Music', 'Finances', 'CONCERTS AND RECITALS']",https://www.nytimes.com/1988/03/07/arts/back-from-the-brink-the-baltimore-symphony.html,nyt://article/0aa322e4-a780-5853-8a1d-48961e5e2a3a,By Will Crutchfield
Bradford Parkinson,2016-06-18,article,Op-Ed,OpEd,Opinion,['Global Positioning System'],https://www.nytimes.com/2016/06/19/opinion/sunday/bradford-parkinson.html,nyt://article/0aaaaf81-9bea-5aad-88f1-e6c7c1a43ea9,By Kate Murphy
Business Diary: May 29 - June 3,1994-06-05,article,News,Financial Desk,Business Day,[],https://www.nytimes.com/1994/06/05/business/business-diary-may-29-june-3.html,nyt://article/0b0693a2-1358-5a11-8082-88e27aff14ce,By Hubert B. Herring
A Retro Mix: Shades of Doris and Rock and Remakes of 'Willard' and 'The Italian Job',2003-10-07,article,News,The Arts/Cultural Desk,Movies,"['RECORDINGS (VIDEO)', 'MOTION PICTURES', 'Reviews']",https://www.nytimes.com/2003/10/07/movies/dvd-s-retro-mix-shades-doris-rock-remakes-willard-italian-job.html,nyt://article/0b5e4a3a-899b-577e-be92-3ecff8f87c50,By Peter M. Nichols
IOC praise of Beijing Games is criticized,2008-10-28,article,News,IHT News,Sports,[],https://www.nytimes.com/2008/11/28/sports/28iht-oly.1.18227302.html,nyt://article/0bb7a37d-dcfb-5482-9217-528fc7dd57b6,By  Katie Thomas
Is Book Reviewing a Public Service or an Art?,2015-02-03,article,News,BookReview,Books,"['Books and Literature', 'Writing and Writers']",https://www.nytimes.com/2015/02/08/books/review/is-book-reviewing-a-public-service-or-an-art.html,nyt://article/0bd2c547-982c-5bb4-b40c-2eb92b5249a8,By James Parker and Anna Holmes
Bowdlerizing Twain,2011-01-07,article,Letter,Letters,Opinion,['Writing and Writers'],https://www.nytimes.com/2011/01/07/opinion/l07twain.html,nyt://article/0c083a88-9620-5da0-81af-2caa9161e0cc,
Hearing in Soldier’s WikiLeaks Case Ends,2011-12-22,article,News,National,U.S.,"['Courts-Martial', 'United States Defense and Military Forces', 'Classified Information and State Secrets']",https://www.nytimes.com/2011/12/23/us/hearing-in-private-mannings-wikileaks-case-ends.html,nyt://article/0c2d4bab-563b-5480-9b5e-d389b4b56c4a,By Ginger Thompson
Movie Listings for June 3-9,2016-06-02,article,Schedule,Weekend,Movies,['Movies'],https://www.nytimes.com/2016/06/03/movies/movie-listings-for-june-3-9.html,nyt://article/0c363945-a45a-5b4f-a3cf-e83b714b5337,
Puerto Rico in distress - Editorials & Commentary - International Herald Tribune,2006-10-23,article,News,IHT News,Opinion,[],https://www.nytimes.com/2006/10/23/opinion/23iht-edpuerto.3258978.html,nyt://article/0c3923b0-1242-5f28-a7d7-604d6d9d88e4,
Highlighting the Good in Religious Diversity,2006-04-29,article,News,National,U.S.,['Christians and Christianity'],https://www.nytimes.com/2006/04/29/us/29beliefs.html,nyt://article/0c4449fa-d4eb-5e33-9be0-7c00f515d0d0,By PETER STEINFELS
JOHN BOCK: ‘In the Shadow of the Maggot’,2011-08-04,article,Review,Weekend,Arts,['Art'],https://www.nytimes.com/2011/08/05/arts/design/john-bock-in-the-shadow-of-the-maggot.html,nyt://article/0c4eba89-d8e4-5b64-9c61-7dfa39ca6cc7,By Roberta Smith
"Though Petition Seeks His Ouster, Ferguson Mayor Says He Is Best Leader for City",2015-04-13,article,News,National,U.S.,"['Police Brutality, Misconduct and Shootings', 'Elections, Mayors']",https://www.nytimes.com/2015/04/13/us/though-petition-seeks-his-ouster-ferguson-mayor-says-he-is-best-leader-for-city.html,nyt://article/0c529586-381d-5e44-9eb5-567e953a0c29,By John Eligon
Tying One's Pay to Performance. What a Concept.,2005-07-15,article,News,Business/Financial Desk,Business Day,"['Executives and Management', 'Wages and Salaries', 'Brokers and Brokerage Firms']",https://www.nytimes.com/2005/07/15/business/tying-ones-pay-to-performance-what-a-concept.html,nyt://article/0c6aa1ee-63a0-51d9-929a-772324410785,By Jenny Anderson
He Just Can’t Quit W,2008-10-18,article,Op-Ed,Editorial,Opinion,"['Presidential Election of 2008', 'Voting and Voters', 'Subprime Mortgage Crisis', 'United States Economy', 'Endorsements', 'Elections']",https://www.nytimes.com/2008/10/19/opinion/19rich.html,nyt://article/0cbe08ca-b44a-5178-ad09-03cfee40700d,By Frank Rich
How Women Can Escape the Likability Trap,2019-08-16,article,Op-Ed,OpEd,Opinion,"['Women and Girls', 'Discrimination', 'Wages and Salaries', 'Workplace Environment']",https://www.nytimes.com/2019/08/16/opinion/sunday/gender-bias-work.html,nyt://article/0ccf81f5-9888-5bf8-96a6-f0ee63bde914,By Joan C. Williams
One Republican's Journey to the Other Side of the Aisle,1999-07-19,article,Biography,National Desk,U.S.,['Biographical Information'],https://www.nytimes.com/1999/07/19/us/public-lives-one-republican-s-journey-to-the-other-side-of-the-aisle.html,nyt://article/0cfc09f1-1c90-586e-abb6-62ca5c041540,By Melinda Henneberger
STAGE VIEW,1976-12-12,article,Archives,None,Archives,"['Theater', 'REVIEWS AND OTHER DATA ON SPECIFIC PRODUCTIONS', 'Theater', 'REVIEWS AND OTHER DATA ON SPECIFIC PRODUCTIONS']",https://www.nytimes.com/1976/12/12/archives/stage-view-the-brownsville-raid-plays-fair-with-history.html,nyt://article/0d08bb49-bb58-5327-a3f1-bc0b955118f3,Walter Kerr
Politics: All in My Family,2016-02-18,article,Op-Ed,OpEd,Opinion,"['Presidential Election of 2016', 'Youth', 'United States Politics and Government']",https://www.nytimes.com/2016/02/18/opinion/campaign-stops/politics-all-in-my-family.html,nyt://article/0d10b4d6-1554-58c1-9ae0-43f221a71552,By Charles M. Blow
Video Games Are Showing a Social Side,2006-07-22,article,Interview,Business/Financial Desk,Business Day,"['VIOLENCE', 'Computer and Video Games']",https://www.nytimes.com/2006/07/22/technology/video-games-are-showing-a-social-side.html,nyt://article/0d32c6d2-cec0-5c67-8838-dae7b68979d9,By Matt Richtel
Pupils Glimpse an Idea; Teacher Gets a Gold Star,2000-02-28,article,Series,The Arts/Cultural Desk,Arts,"['Writing and Writers', 'Surveys and Series']",https://www.nytimes.com/2000/02/28/arts/pupils-glimpse-an-idea-teacher-gets-a-gold-star.html,nyt://article/0d68d616-4c70-5a09-8f55-f61e11be3946,By Anne Bernays
Upheaval Over Race Reaches Met Museum After Curator’s Instagram Post,2020-06-24,article,News,Culture,Arts,"['Black Lives Matter Movement', 'Black People', 'Blacks', 'Discrimination', 'Monuments and Memorials (Structures)', 'Art', 'Museums']",https://www.nytimes.com/2020/06/24/arts/design/met-museum-staff-letter-racism.html,nyt://article/0d863562-1d0c-554a-bd3e-03469a188982,By Robin Pogrebin
Agency Trip to Las Vegas Is the Talk of Washington,2012-04-04,article,News,National,U.S.,['United States Politics and Government'],https://www.nytimes.com/2012/04/04/us/politics/gsa-las-vegas-trip-is-the-talk-of-washington.html,nyt://article/0deb0677-1184-5f7f-b631-83690d2d0eb7,By Sheryl Gay Stolberg and Michael S. Schmidt
"In a Political Gamble, Marco Rubio Sticks to His Tough Line on Cuba",2014-12-19,article,News,Foreign,U.S.,"['United States Politics and Government', 'Cuban-Americans', 'United States International Relations', 'Embargoes and Sanctions']",https://www.nytimes.com/2014/12/19/us/politics/marco-rubio-hawk-sticks-to-his-tough-line-on-cuba.html,nyt://article/0deedb70-71e8-5196-9f44-f1e41c19079a,By Ashley Parker and Nick Madigan
WITNESS TO THE CENTURY,1987-04-12,article,Review,Book Review Desk,Books,['TERMS NOT AVAILABLE'],https://www.nytimes.com/1987/04/12/books/witness-to-the-century.html,nyt://article/0df0681c-4935-520b-a3d7-c26d630e2e29,DENNIS H. WRONG
Money Manager,2009-02-05,article,Letter,Magazine,Magazine,['Finances'],https://www.nytimes.com/2009/02/08/magazine/08Letters-t-MONEYMANAGER_LETTERS.html,nyt://article/0e4e130d-2d20-5f6e-a2df-9906e9daf3db,
United States of Shame,2005-09-03,article,Op-Ed,Editorial Desk,Opinion,[],https://www.nytimes.com/2005/09/03/opinion/united-states-of-shame.html,nyt://article/0e6fcf3b-8ffd-5f06-9538-836090b50058,By Maureen Dowd
"After Many Leaders, Japan Still Hopes for Recovery",2010-06-15,article,News,Foreign,World,['Politics and Government'],https://www.nytimes.com/2010/06/15/world/asia/15japan.html,nyt://article/0e8051cb-8a99-5b10-92ed-d99d46e3c411,By Martin Fackler
Cheerfulness Amid Calamity,2012-10-17,article,Review,Culture,Arts,"['Documentary Films and Programs', 'Television']",https://www.nytimes.com/2012/10/18/arts/television/ethel-a-documentary-by-rory-kennedy-on-hbo.html,nyt://article/0e90ea48-53cc-5f99-aed6-4ade199bee94,By Alessandra Stanley
Letters,2006-01-01,article,News,Science,Science,[],https://www.nytimes.com/2006/01/01/science/letters.html,nyt://article/0edfd74a-73fe-5265-87e1-89715644b359,
Rainbow Nooses Cause Uproar on Tennessee Campus,2016-04-20,article,News,National,U.S.,"['Colleges and Universities', 'Art', 'Race and Ethnicity']",https://www.nytimes.com/2016/04/21/us/austin-peay-state-rainbow-nooses.html,nyt://article/0f1a045c-0d55-5af1-a583-ca894ce4efbf,By Liam Stack
Family Values on Fox,2006-01-22,article,Editorial,Editorial Desk,Opinion,[],https://www.nytimes.com/2006/01/22/opinion/family-values-on-fox.html,nyt://article/0f4e07f0-d55b-5b2a-b688-cb1ec88c1b4f,
